Size(MBs),1024,2048,4096,4096,4096,4096,4096,4096,4096,4096
Overall,3.8550351698,5.8426951635,7.3790884914,5.0783821767,4.8045977041,4.6565952855,7.950322669,7.8114168691,6.5950630144,6.1379181986
Gather,1.5701671786,2.686181295,4.8079796124,4.8331551413,4.6290928315,4.5203979357,7.7250018638,7.6017620842,6.3076739698,5.7530874316
Compute,2.5452018288,3.6128591652,5.5677120229,4.8883586414,4.5933653994,4.0947561158,3.1978472764,2.9991727926,2.8671384207,2.6740554238
Scatter,0.5486041459,0.8513052689,1.2226873165,0.9557091016,0.9514729497,1.5599428831,1.665591415,1.9148386178,1.9401394135,1.8967503252





